CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average
85,497769721,473332422,46.55094548
40,104481576,95683252,53.80552481
3,41204,38885,38.69605129
1,5360,2585,22.79474332
1.67,22307,17393,53.48209301
80,407895685,388061082,65.04508331
26,33591863,29870577,47.88147325
26,34694624,28342073,59.46129653
39,124216721,124929699,51.9452955
1.67,0,0,53.93005307
3,41299,38470,36.16814506
28.81,19327353,15032386,54.93005099
3,43953,43759,36.30576484
54,172342816,188143082,51.91786299
60,224585605,217095466,65.74075156
29,36916342,29012525,52.02134453
2,42633,39696,32.90169457
1.64,0,0,54.11444617
54,175126706,168370162,52.94343263
76.72,48938787,42989690,81.09996659
74,345766518,344856203,48.90267401
24,34919568,32619575,59.26891332
72.33,194347270,177167401,67.71968928
77.67,218886628,191388418,94.59604733
71.67,193056859,175158738,67.53041915
11,5054,2225,22.82964358
73.67,193983232,175281770,75.46036015
27,9111662,13754919,43.29074351
81,430873620,403163760,66.07070375
45,179837951,170026139,71.18595333
45,142769788,110421756,56.61161706
3,40875,38583,42.70587213
75.33,214088051,193347752,85.11178767
76,215822107,195421012,72.4224916
75.33,46805637,42676383,85.11178767
72.33,194011558,176866948,77.08731537
72.67,194617501,176170824,53.80657091
1.69,0,0,53.47098999
80,107216225,100136942,68.07790021
2,0,0,53.20680044
28.67,4164044,3244816,55.30464812
79,373632500,352854203,61.36993915
29,33489995,29378286,53.38474051
83,474311310,450784629,58.84797662
3,42526,39788,39.82398486
2,4733,3751,53.56427609
1.69,0,0,53.59582111
1,5234,2459,22.80251587
72.33,194173569,176386202,67.8253236
79,443815185,415729512,61.90842925
28.47,19327353,15032386,55.71836522
84,486192857,462533382,49.28865965
82,453190705,424012599,67.48637391
59,94440343,114175588,57.63871073
79,407307214,400775542,51.67904771
76.95,213674623,193273528,64.67102901
1.67,4811,3855,53.92569487
62,260170166,250807806,56.35344662
97,81587872,73964752,56.28254377
28.67,19272675,14939156,57.08164972
31,28741183,26300373,43.24293981
73.67,196940506,178489358,85.98155861
3,42669,40614,39.71745526
72.67,43589325,39650383,53.16456747
82.67,54266470,49647685,59.99883782
2,5074,2225,22.90269535
94,339085742,287974966,60.40591386
99,84218745,76048994,55.02115799
72.33,194606908,176620789,77.62223177
31,37318521,33787519,47.69874222
76.27,213602075,193415004,90.64399576
72.33,194391862,176267139,55.32975961
49,323946550,319328560,48.464973
4,37939,37537,37.15134671
64,198003186,201782515,51.5616467
72.33,197568496,178241143,57.03609622
72.33,196623635,178196268,84.55746693
71.67,194624636,176721694,78.23393539
1.97,43294,35037,54.08788194
75.67,216895848,195421012,65.22742508
2,7416,7557,53.94696701
80,423953771,393596185,59.45296518
57,351978396,331356558,54.70510809
3,41295,38885,38.6326009
2,5144,2369,22.84737311
31,16829306,17351355,63.83444579
4,40875,38637,38.58799767
66,331219738,312976679,51.7482386
30.33,19327353,15032386,72.24494709
43,133890577,128559498,51.42245209
50,303190366,237203522,40.41048186
54,182299180,163424331,52.98503861
54,188703950,181247873,56.35024616
73,43345328,39553837,61.43351368
2.03,4903,3883,53.96346588
75,202597015,182707270,75.8649458
75.74,219922739,198801224,72.68439829
56,255421859,206423318,51.54147872
61,176403614,171121243,57.97318421
3,37638,37219,39.79639994
2,0,0,54.03340452
59,148798227,150831164,45.01533427
47,179270561,143929370,59.72271824
1.67,0,0,53.57413391
98.31,367300462,330056104,97.85244816
73.33,43339035,39308321,79.49532117
6,5000,2225,22.81826416
31,43850563,42716657,57.0722801
26,17407928,21348084,51.59288929
1.97,0,0,53.80013739
2,196736,157355,54.01856591
71.33,193273528,175019917,81.36062808
28,21607121,30866868,39.89454738
4,37307,37039,36.036977
1.67,6257,21831,53.68827708
77.38,216895848,195421012,64.92494568
78,358604775,344980851,68.84941429
71,93747128,87485886,68.25148707
2,40939,38411,38.72551585
73.11,201731911,181624381,64.31666636
71,352542701,349936520,52.95897772
73.67,198642237,179314885,80.22583745
83.33,254476812,229780750,62.86092589
73.11,195578910,177841937,75.76636761
96.67,75201399,58148992,85.84458681
97,363998478,327491256,60.82803605
72,317720470,307162997,59.75330041
72.33,42313545,38616033,64.66397289
73.56,194347270,176093659,69.23706706
81,425669314,413930797,64.5064408
97.67,80512555,72998195,81.16482066
65,320046135,279327852,55.79077526
71.67,193273528,175019917,74.1096314
77,381112443,376434372,55.31827559
71.33,42272421,38790568,66.7372279
76.33,47128088,42964783,88.76748206
3,41187,38885,41.8299621
4,42101,39782,38.82508571
28.33,4244819,3338241,55.27445206
70,335768339,334460274,53.7467481
9,5090,2369,22.93119468
79,215266812,195010489,70.95326149
47,34586172,31756849,41.19444217
1.67,0,0,54.51602259
74,42381449,38924016,55.03226101
74,194347270,175019917,79.63301934
74.33,193500375,176054144,60.76722887
54,155083543,167393278,44.69041137
54.67,40717466,36728908,58.23107143
3,41241,38885,38.72978313
82.67,248213753,224931628,59.99883782
21,15589394,14066233,52.3822345
72.46,200958890,180637866,73.0262052
74.92,193937496,176135141,63.93210764
3,5584,2795,22.71849109
64,279967676,263078561,67.49419726
82.37,250226633,225424140,56.03474933
2,741837,735661,32.82280069
28.85,4216572,3293824,54.87567734
28.33,4158697,3254313,54.509174
96.61,78459753,71351272,73.37620966
76.33,216895848,196494754,80.49417766
4,41991,39536,38.78835662
1,5462,2531,23.01120618
57,259282755,211870885,52.59387127
72.33,194347270,177167401,77.08731537
30,36271723,33244913,45.04551003
96.67,370438176,332814429,87.41882864
26,30180085,25635803,51.07537998
1.97,0,0,53.39057094
76,322278664,312042069,46.76700194
47,38285382,43660115,66.01929319
59,179378311,224428823,58.71096645
63,268469105,259721149,60.25338499
2,0,0,54.05571432
65,270181720,267336683,70.06005181
0,7758,6650,26.64814803
8,5226,2369,22.92961985
4,42038,39192,36.314147
50,155706153,193559502,49.59204295
2,0,0,53.84838882
3,2292640,306835,53.95423066
72.67,197061758,178292855,80.27720187
25,15273950,23523445,57.6795547
75,101450809,99483803,53.94187457
70,383055722,344782310,67.58401335
84,400400486,386081745,51.98989874
4,47698,43713,36.00471839
55,211238291,181316765,68.41471053
34,42764925,50247820,46.85478598
28,33303360,24424065,62.53902148
76,213674623,193273528,71.18300055
2,0,0,53.01721902
3,41822,39101,35.9518854
30,36243055,36544112,67.1926936
36,314492334,292366117,55.43791184
41,418195816,387072153,52.28683031
50,148234114,153478603,54.3219673
76.39,47032986,43227877,72.73026309
3,43489,42986,38.64951762
2,4811,3923,53.86841576
76.67,217464550,196613305,67.86340591
72,194347270,176093659,57.20502811
71.67,42386369,38859499,58.92931632
73,43052771,39440547,88.093311
97,374735897,336081191,57.13249531
30,19327353,15032386,72.91797672
7,5144,2369,22.93160109
48,192409247,176329940,48.2149307
79.66,47354347,43149220,79.72329621
8.67,1575561,1199324,56.49121824
4,42029,39096,36.04139668
1.97,0,0,53.14931379
74.1,197028706,178761106,70.14097719
1.97,21649,17121,53.95620223
81,454196374,421507107,46.37420897
73.56,194347270,176093659,57.21841399
3,5234,2447,26.6362606
73,197874262,178767458,68.91902269
49,198325063,149417255,59.2999527
76.67,215822107,195421012,77.81222826
49,155275043,149808973,57.17220558
27,26301348,22669798,54.75204817
44,102764372,83810706,69.16311018
76,214748365,194347270,63.6846245
72,42444833,38831021,54.29302834
75.93,199323353,178462411,78.28031902
72.79,202937205,182536110,81.98146315
31,44466813,35001564,42.2246855
78.67,223338299,193273528,71.30669024
72.13,197568496,179314885,76.33469683
73,195421012,177167401,80.55073041
9,5054,2279,22.8468143
32,33371162,36536454,38.40607945
6,5240,2441,22.91691961
36,69696978,78963492,43.31040348
71.48,42950771,39395024,64.35474867
72,193868100,175657860,59.9833766
44,105084292,120763722,67.23546801
27,9269608,14099090,43.20722674
80,430342786,411811162,56.78718515
58,187040107,218285838,65.62243614
25,22722702,18659159,51.20283957
71.33,193273528,176093659,67.33181004
36,62460521,64348045,49.57954591
66,333112982,266408988,56.23848406
83,386371388,382583113,43.83019883
53,214172674,213553852,46.90924461
4,44289,42955,35.92638332
26,23104252,22308737,53.51656898
40,88194511,87560447,69.12439985
81,455463540,443663072,57.25988802
4,41859,39138,43.78534159
52,191352264,180665427,60.31729259
72,42359210,38743747,67.16879284
97,356819081,271081423,79.82685519
76,215822107,196494754,77.46450666
63,260490616,255583082,49.97990822
81,429113793,418052682,57.2905718
66,78845832,82941097,58.86855101
82,455611292,442357414,56.72063591
2.33,42504,34279,90.50909929
72.13,43500615,39621116,64.32662794
80,306644616,290499356,54.42138476
72.33,42369566,38877724,83.40773393
76.67,217591459,197054010,54.67084223
73.22,194347270,177167401,58.16393449
4,42103,39192,36.19014187
72,42563598,38987237,55.41972518
31,29171011,26612539,40.29287766
3,40939,38448,38.65607094
72.33,194320092,175565165,88.13606281
1.69,0,0,53.01721902
73,125838866,121585115,39.35407604
68,369005678,363598545,50.65799935
33,108661652,101216101,50.63361489
35,207514773,156090228,40.49415103
76,390865250,372844723,63.76876016
73,194347270,176093659,68.61550562
32,45141483,42786277,60.94509077
48,366414422,344363890,45.65755992
68,413393942,371993710,56.84779069
3,46847,41594,36.20959864
3,41980,39607,38.5632068
60,315839640,250068682,48.08706471
2.03,0,0,53.99158661
71.67,42258608,38695145,57.15594655
31,37173115,37409644,46.3387499
61,397923300,393955835,64.54982481
77.67,225807142,195490030,87.14353607
59,215035534,175974852,62.23523178
25,32245517,28516835,39.57379016
31,37318641,32994152,62.50041276
76,47512553,43304761,58.13903053
75,239415769,227209831,54.19389809
73,199715979,180388626,60.84993079
2,0,0,53.27839934
4,41559,39149,42.709225
65,328820006,323815560,55.21108558
82,429511602,421726472,58.85016106
40,64187644,64609237,52.82359318
77,218145775,196948598,84.30489923
64,424610872,383727541,45.76678197
2,0,0,53.56344596
72.67,43074301,39489959,83.98654356
71.67,193154806,174900193,78.07060689
3,36934,36515,39.82581369
54,76976095,64602967,43.7168111
95.67,356482286,319975064,60.45084476
26,52632181,54831271,50.97037441
60,187968489,166863661,56.59429394
76,213674623,193273528,57.8134112
78,430740123,422633522,54.37871196
59,20225760,20143339,50.16817656
29,27633733,28047213,51.84984051
58,260523007,225101006,50.90362196
73,199715979,179314885,60.78684075
73.67,43446401,39514424,75.16867247
77,216491317,196167312,57.92236604
71.67,194148846,176321279,70.29849476
3,45993,40673,39.84831851
4,37699,37549,35.89798559
32,35585569,36299976,55.02896416
2,0,0,53.70643622
4,44543,42264,42.00994987
57,177233803,185795359,39.00522589
77,216579485,195301283,85.33115009
59,174467877,206480112,65.26022534
2,42914,34781,54.05571432
70,244663958,262113732,56.60044085
74.67,42414875,38785659,84.88246367
98.98,359703511,323196289,95.88212954
32,176593926,185833597,61.84538527
75,385418983,361459476,52.51579021
82,445442116,417709084,68.17940052
41,82580559,75920206,59.1770652
42,447348146,427394874,48.82154489
1.64,0,0,53.80345792
26,17988578,21570770,63.64968272
1.97,21402,16994,53.80013739
33,45359395,46199762,56.16126661
70.67,187579559,171533759,84.11365754
27,25555323,23394587,41.86389713
51,163380204,148856403,47.47811368
39,20242332,24147997,37.25315182
56,389950092,383145053,46.87510636
4,37547,37027,43.78473198
29,35568320,35311233,57.79873374
2.03,0,0,53.53937213
77,219043332,197568496,61.65972469
98.33,78010635,70388587,98.04825558
4,41133,38831,41.85790262
97,82636783,74920655,92.03830645
73.67,201579185,181503945,80.59151065
35,50118867,48615776,55.30847101
65,330165394,265455553,56.42980045
32,45087936,40307190,56.08994207
1.67,0,0,90.51148592
9,5000,2225,26.65338052
1.67,4625,3723,53.47244273
74.67,193655190,175347028,71.53694814
31,42483210,41481456,60.16209568
28,29283319,32001808,48.18851421
85,465944218,449723586,46.88277731
42,125367950,99565890,68.61156423
72,42377031,38845851,81.51472136
76.33,214748365,194347270,81.5319466
41,162388041,155161856,51.1192212
74,41542872,38363451,79.34081282
76.33,214748365,194347270,78.00014942
35,82684503,103707861,51.63393646
85,447916976,416226703,55.24151535
75.33,196494754,178241143,93.0221168
76.67,217969590,196494754,55.85782742
56,162873523,190408276,47.93003896
77,417782617,395116711,64.21458932
3,41579,39324,38.5203816
82,468621988,435415592,59.51362151
24,14104022,18166043,51.17200339
42,180702280,167590955,63.97231958
77,216057502,196164191,74.70286458
64,313261148,311139079,53.8639459
34,48107593,45554897,38.83864957
80,403129763,386411598,64.83065248
78,419826467,414132655,53.06108764
27,30293416,31761700,66.20441186
75.74,48073542,43628697,82.64556886
4,44805,43434,35.94832933
66,303672253,254789158,49.17964081
2,0,0,54.08528778
27,24502555,25570194,72.60421435
2,42770,34741,54.05571432
76,214748365,194347270,56.10437666
76.07,217969590,197568496,84.63466922
63,251779919,234520743,57.76205545
79,430552949,410800141,55.33773236
2.03,0,0,53.03994388
24,54454881,55083301,63.04530378
51,201053922,163067846,54.20405828
33,28065140,25305146,51.08381294
59,282405432,214746134,50.3838266
38,39843220,39841965,64.06137365
76.33,215822107,195421012,75.09302668
73,362135951,361164532,62.1348999
33,125177193,112548713,48.45384759
76.67,217461915,196196738,54.88864815
59,299479503,287531857,36.68631478
58,222491618,178379427,63.32150856
9,7352,6356,22.8151145
4,41763,39468,38.52149922
32,44131009,42629048,54.60797666
72,194347270,176093659,87.06768275
72,194106702,176623163,73.21817325
81,452893606,424197546,49.57995232
3,5148,2315,22.79001883
3,41810,39153,36.10438986
98.98,351113576,267361714,90.17299954
28,42053849,32246281,59.31895226
79,439803891,422061950,44.63158387
75,320044823,262361662,43.35241586
71.67,42505747,38917011,66.40382608
73.67,43209355,39473364,73.05941048
2,5033,4039,53.7911097
59,248772405,263447684,52.68226493
71.33,193751843,175366469,77.60459146
2,21649,16994,53.42740806
77.33,46409428,42349314,77.66373838
75,100223971,96796613,63.97516443
97,81799747,74096965,59.76463679
38,93676802,99164164,50.49950037
2,0,0,53.03973635
28,29696291,25451846,59.95787585
78,219043332,198642237,64.04427925
2,6194,4545,22.88811547
65,322523900,312133658,44.66348687
61,67889911,63410695,56.73064369
78,438326952,407612146,60.59227815
62,401605244,380395903,49.16536574
80,422885988,397310154,67.14951279
3,37796,37495,36.29093096
78,419262259,398689321,49.41342679
2,0,0,54.00082183
53,206808030,177612509,55.81140045
2,43320,36180,54.08591037
1.67,4877,3839,53.48209301
2,0,0,53.650091
2,0,0,54.10074899
73.67,42410161,38688797,75.46036015
52,322169992,306047392,52.61546168
4,41899,39258,36.16890707
1,5000,2171,22.87292599
75,384381646,375794512,66.45323493
33,66824122,65409993,64.10562128
50,194054330,163022736,49.02637433
73,194347270,177167401,54.90826002
80,287442811,299239366,56.61608754
49,131630779,150728526,49.16688977
3,41876,39138,36.27990716
75.67,216895848,195421012,54.47835534
1.97,21877,17302,53.59665125
4,41720,39171,35.95117419
48,13831237,13180929,42.38404809
96.67,345744867,264140489,62.08610131
4,46528,41093,36.154378
89.83,296352743,260919263,57.85481404
98.33,379324902,340938627,83.55134679
4,46312,41147,35.99049413
2,33921,34237,53.94696701
2,0,0,53.20700798
87,179314885,161061274,79.16648508
66,325975794,315539027,54.00695059
59,104681464,109829765,49.64360591
48,295875888,284965916,59.7208386
45,120621262,113256294,47.75071159
21,15653524,17785525,51.09443034
74,386054949,362851527,61.2665084
29,26772374,30556146,40.27890739
56,242933491,211735950,50.43747241
66,271887376,284154501,48.50856021
75,371707952,359607207,64.18070509
2,41584,33593,54.0653646
3,41241,38889,38.71012316
72,193750183,175530724,67.16879284
76.72,223338299,193273528,56.26863906
58,187661381,215443068,66.46359832
78,420635380,394182700,63.72166767
81,440782572,417672144,59.46906908
2,0,0,53.64687424
2,32771,7123,53.79619426
3,42267,39492,39.85228099
36,149221837,127512974,59.49614599
32,46533959,41735432,66.09493581
2,195062,155611,53.97311617
82,55914415,50958871,64.36958728
1.67,42413,34239,90.51148592
1.67,192258,153364,55.83956451
76,215822107,195421012,77.67878452
3,41516,39079,41.81863348
78,425813343,391357499,54.27619564
73.33,42433849,38815671,62.82595657
72.33,42551248,38959929,57.60805726
77,431570264,421075706,42.28813589
35,129185087,120989720,52.42058922
72,194347270,177167401,66.35360308
2,4625,3683,53.8803489
82.33,215822107,194347270,66.26135465
79,429520959,401728010,47.43518687
72,42387087,38929364,82.13638656
75.67,213674623,193273528,61.83986336
30,37079242,35157647,51.0444422
66,254283684,264388023,50.37722248
79,431763493,400827892,51.59578494
73.22,194347270,177167401,65.14866629
28.33,19327353,15032386,55.21364488
85,83408649,86873168,49.07494004
56,187742585,198046997,69.95763709
76,213763848,193650661,70.45705
11,5058,2279,22.70345401
80,432438041,397780859,36.21777759
77.33,46969279,42869292,56.59456969
3,42003,39228,39.71709965
47,148807565,141022313,52.25177765
3,41241,38831,38.65581694
72,193284081,175639253,83.38677309
1.97,0,0,53.88948036
4,37548,37129,36.0794974
73.33,42468306,38757929,65.04406964
1.69,4829,3859,53.92081785
54,177721651,195976772,67.40524479
3,41708,39034,36.22991902
98.64,81774651,74286247,66.66023314
71.67,42446369,38918241,70.29849476
2,0,0,53.77274303
54,127161922,193116776,46.69384856
28,19327353,15032386,57.01793708
80,386742057,370536257,56.45012083
50,115631842,160184084,52.75861876
31,30460797,29308062,53.64489219
72.33,195421012,177167401,56.65340531
75,270314094,211383972,52.99377638
1,5108,2333,26.67111006
73.67,197568496,179314885,65.96707281
16.27,2268920,1841528,54.56977364
33,44914038,45373588,54.40980215
2,9308,9387,22.96716176
31,133283898,101884694,46.6583895
3.33,338209,244188,63.76379835
77,441223187,415254233,45.12613115
76,320879446,314161904,58.51548438
73.33,42423853,39121281,80.62243308
78,406253240,390585640,67.82308263
55,133327014,141515164,58.49435119
3,41277,38921,42.03011785
28,61769606,51382405,56.01023538
2.03,193370,154460,54.04025311
33,54795065,58643559,54.63032908
1,5090,2315,22.9749851
84,478429100,462683955,52.85762982
78,434931619,410293435,44.15319129
30,330679558,314935364,56.66612648
62,193720599,218311524,54.04058082
78,415064681,398858891,55.14727958
77,271870368,223578507,43.42394361
3,48457,44680,39.74854544
83,439540931,424901772,40.8870456
3,42082,39360,39.81677112
2,0,0,53.42854949
2,0,0,53.96035289
81,423893441,396108219,44.31814199
70,352349865,349211935,66.87915012
2,21951,17483,53.83676697
30,38854612,34196200,64.26716831
1,5132,2237,26.64779242
1.67,42650,34371,53.99376571
75,407168757,382003828,57.56205209
30,15354047,19232926,48.01833102
35,49843984,47191284,54.9990424
28,25039340,31441141,60.34096584
97.67,362458241,324704624,77.11336077
72.67,196273849,179069972,68.92099425
41,75328584,97172624,55.14174228
2,44106,36535,53.94572181
72,73899990,93949010,57.6635524
1.97,0,0,53.3749022
48,99003806,123035730,54.67823438
54,299620012,288664061,65.79043489
23,14237210,16414149,64.30272898
4,37548,37129,35.97947032
55,86370793,83116306,50.80953859
2.33,0,0,53.71629404
3,5132,2333,22.91158551
87,475054947,445166012,39.80462969
54,244195417,181318314,53.43025817
2,0,0,53.86696302
3,41241,38939,41.8298605
77.67,209379656,185757336,84.13150538
3.93,15889371,996306,53.81850406
76.67,213571356,193593943,62.51839262
73.33,43472365,39564078,56.40011124
62,260308890,258177450,48.54986139
4,5000,2225,26.61172374
3,41541,39293,38.72637946
72,273438695,291333360,63.59949138
7.33,90034,340154,53.68080589
80,447596765,425344776,47.8735483
78,408795382,400726415,62.17792831
3,38148,37628,36.27122019
1.67,0,0,53.73559461
82,410945909,383152102,65.30396496
39,170763261,159064358,45.73472657
77.67,47284110,43396486,74.09842462
28,51887608,55407330,66.50845556
33,162961404,118466932,54.85400568
25,29283900,22435297,69.28975695
36,97940900,100689076,53.24422507
72.67,43083213,39353414,80.27720187
72.67,199715979,179314885,54.19569535
71.67,194347270,177167401,72.29205709
3,41733,39288,38.65485172
80,426762955,408020472,57.84359098
76,354882867,324594947,52.94216261
83,445777634,427528973,43.01580875
59,316948147,296780072,52.34702944
29.67,19327353,15032386,73.05826905
81,46827723,42556694,86.28144385
77.33,211947516,191960392,76.91423282
3,41028,38583,38.5474077
2.03,23432,18136,53.41132425
74,198737975,179098542,60.10384953
2,4955,3959,53.52370339
61,275312491,250541444,65.54862235
29,19207734,14620993,71.79812847
52,205444971,177022234,66.66949459
79,402898649,397057957,51.68250217
3,5108,2279,22.97554391
72.67,194347270,176093659,53.80657091
2.03,0,0,53.40489072
9,5280,2369,22.96924459
31,66699110,63817597,64.3467734
43,222133490,206203303,58.87728877
81.02,53417123,48694950,69.77457762
2.37,4679,3683,53.80522195
32,190243296,182095939,60.80421973
79,92775674,91890988,55.36628249
72,193273528,176093659,76.07808223
29,37086814,34999282,50.79643194
73.9,194347270,176093659,62.45084061
3,5000,2225,22.84031178
2.03,0,0,53.50595931
3,46770,41855,39.810421
49,171107905,161874136,48.71846975
3,41505,39149,38.64997483
35,65530319,59911433,46.84579421
24,15344507,19290674,46.44157103
4,42560,39667,36.08772715
2,22088,17302,53.94499544
72,193273528,176093659,68.68627439
77.67,46411454,42582085,91.94917101
32,36406948,38710251,48.81727761
3.67,103710,56266,63.76680758
28,30256939,26427951,45.1025087
2,194961,155643,54.00870809
30,331591599,290655264,44.98038321
1.67,22829,17502,53.91936511
75.74,217446117,197416264,55.09576612
77,47393020,43201599,86.01766936
78,423322775,399237657,65.76340878
49,136587548,133202458,52.51426618
2,22801,18009,53.48188548
40,66090761,75313029,52.68541459
33,319239792,268102554,47.41760974
2.33,0,0,54.0672324
58,174302530,232889101,67.76384872
76,46587104,42678611,83.57293022
50,179163819,148583170,58.87815239
26,17486339,23009757,50.24778165
56,160029335,138476636,59.57996756
73.67,197568496,179314885,73.05941048
4,42007,39228,36.19258032
50,377885091,343005303,65.39992796
9,5306,2531,22.83492687
25,12172287,22690625,53.05295949
76.33,213945421,193249004,61.45094645
32,265605516,244067887,54.56555787
3,48440,44746,36.02905205
57,209778363,199054930,68.43914579
3,41241,38939,38.63879862
1.67,0,0,53.77180913
38,62393021,72307484,66.63022545
73.67,43509730,39474520,79.1698056
80,260244047,211106989,63.73863519
2.03,0,0,53.90597923
73,198196476,178566550,86.44300832
30,39129544,37695898,49.8346175
71,99399948,94306990,57.9673929
76.33,217080651,196024464,80.49417766
1.67,0,0,53.76454547
97.67,362924737,324270031,77.11336077
5,6954,6302,26.64301713
72.88,42429702,38906094,76.88092377
39,398067239,383344956,49.04003979
82,435813897,421782357,65.28847067
72,193978616,176245455,85.56472852
72.33,42498928,39062049,61.07199113
73,319787598,328733216,64.05116266
46,79830171,102681166,65.26931871
56,142617791,195043704,66.07390421
1.67,43064,34849,54.07823165
3,41204,38760,38.67898217
4,37638,37236,35.93694992
1.67,0,0,53.6054714
97,82067684,74349811,74.32256029
74,186491008,191503336,40.67103995
37,124864886,138805962,55.33636073
3,41822,39084,39.74031569
73,197568496,178241143,73.45040272
28.33,19091930,14889673,56.27507258
73.33,199715979,179314885,86.78325873
30,34646614,34108568,64.98005809
28,25484823,26444765,60.44947667
72,97261384,89305377,46.2107315
75.25,41892286,38474438,75.82146763
2.33,23579,18190,53.60848063
2,0,0,53.21645073
74,193982074,175709015,83.29836402
4,42604,39639,36.10901275
2,201740,165524,53.94572181
72.46,197568496,179314885,57.02395554
78,47896587,43838357,64.04427925
3,48641,44930,39.73482918
63,401128738,381645401,65.15252732
73.22,192596909,175963224,82.03666694
36,75080680,59943965,54.95667441
73.33,199715979,179314885,69.05910748
4,41876,39101,36.09951297
2,0,0,53.21811099
1.67,42227,34135,54.51602259
62,277580806,264349564,47.97652183
77,398819611,391981136,50.77484154
58,177050767,200906372,59.54781056
83,254887762,230351496,92.76861519
78,393783288,386371230,45.02960934
36,373383231,341800592,50.40831266
64,331903180,321428468,59.95833306
77,420261620,390385386,55.27189432
29,33443118,30444843,49.52661132
77.67,217969590,197568496,56.82441253
2,11198,8323,22.84920194
1.67,0,0,53.47327286
3,41456,38782,39.81514549
80,431473187,422966571,57.45328725
81,421015080,409555041,63.49844828
31,27803589,34250200,50.53038735
1.67,193955,155557,54.07283579
2,21402,16686,53.90193234
47,266379375,247324952,51.34782549
59,249116569,229441839,57.86426697
73.11,44104239,40088760,64.31666636
29,30155765,32004923,55.851584
57,255671041,192504470,66.33212546
71.67,42186903,38714036,54.28337806
97.33,369611324,331860946,80.43845504
62,313962753,315273789,54.7164875
3,42393,40990,38.53308183
71.33,193273528,175019917,54.68640721
1.67,62931,10167,53.8140421
3,42437,39336,36.1649954
77,215663563,195564671,82.26101015
42,156850937,173252340,55.79143567
2,0,0,53.24540159
72,194347270,176093659,58.98161465
43,114301986,99911785,63.65831888
79,371817201,364260069,60.66360269
48,193333397,176919178,59.17767481
43,91842786,103314734,64.27844612
76.67,215121615,194190767,74.5500165
79,446354755,416317562,50.34531948
71.67,193781505,175974456,66.86527578
30,40817570,33811100,52.17262977
4,40681,38329,42.70871699
41,190707885,199873077,68.12158903
73,42731413,39017802,80.55073041
73,197206561,178908553,75.31861509
1.69,0,0,53.14972886
83,460044014,447838880,61.86067635
72,42411318,38779784,63.82823736
77.67,212600881,193273528,91.94917101
1.67,22719,17936,53.85243571
80,424353255,395205450,67.94795138
28.67,4151131,3261144,72.09126888
66,360063224,320929084,60.01258848
72,194347270,176093659,54.38849354
50,195902712,177834448,47.53648397
83,421154544,410372604,49.95938464
1.64,0,0,53.74545243
3,44341,43261,39.85446543
65,270292854,216777025,54.87986337
5,5434,2639,22.77020646
59,149120259,139946857,55.38157358
63,271634328,271222251,60.53334905
1.67,0,0,53.78301591
76,46880081,42931724,80.87717988
2,193507,154959,53.99802013
28,23574027,24606319,73.90903683
66,106400346,94800924,43.17684777
47,390307116,382282495,70.83126108
73.33,195272637,177163446,53.91573329
27,22377317,26811323,57.66568604
71.48,43138025,39664208,59.9167585
47,98371035,125401507,47.55832838
4,42226,39411,36.23545632
64,73716353,56545993,60.93696262
2,0,0,53.45314215
77.38,48014581,43824437,55.98888453
97,78849209,71362028,67.13911562
78,452640059,423992610,60.21299824
97.38,368352084,330255765,97.7606148
72.46,196494754,179314885,58.40778581
2,4625,3711,53.80657091
81.97,257334347,231704157,77.96808557
66,337016018,329605967,68.40002906
4,42074,39336,36.22793778
28,45642727,58897803,55.26295335
85,487315884,464901330,52.51071011
1.67,4865,3867,53.52349585
96,340376158,306016420,79.41843018
65,351915398,324130239,43.96974905
76,214689621,194334825,80.14998412
26,129039825,170340812,59.10949993
3,5036,2315,22.87251958
31,187425258,184778351,40.09038506
69,299972407,301453269,38.7654962
2,0,0,53.04274558
37,162218373,214386675,44.91413877
25,14641604,20825671,54.44790286
1.67,0,0,53.5586727
42,119623440,117820716,53.27003196
79,203313709,217155632,45.03169217
51,326747012,253728298,43.74017954
29,31329056,31410570,64.52310351
55,231259577,191509456,58.79306079
7,5054,2225,22.92885784
59,203645326,199786140,60.05531208
2,42306,34203,53.99802013
71.67,42381400,38892015,54.97529319
52,346704950,357171665,60.92736124
96.67,370440929,332859965,65.73619231
72.33,194347270,177167401,53.9324397
76,402778790,368848311,55.78183429
21,17430566,15315393,49.41444281
81,357192042,317865615,52.38502855
2,0,0,53.84195529
4,46187,41039,36.05384291
97.97,364873728,327271710,61.75685015
77,429692578,404445383,47.84245812
49,51185797,48141304,55.41672784
97.38,368293446,330712482,97.7606148
1.64,4679,3779,53.40810749
86,397880112,384431939,55.75800864
80,425797748,396964206,63.21772222
3,41930,39192,39.82936976
63,231383436,243438243,68.5621857
78,398013991,392780527,46.55531436
63,276827767,272929097,63.34386098
70,378391899,357406215,49.99062722
79,412061208,387533404,49.34189905
33,162947561,121679623,58.69074767
49,317825591,297948840,60.12455378
64,353893163,330318073,66.67767354
25,13482217,16362910,48.4546096
64,270539663,265421568,56.14262266
82.33,55769515,50839266,91.29481935
41,162548878,157470630,68.85164953
81.67,252023613,227200227,61.8843792
32,241196947,229002520,63.9733864
58,92007061,90310159,57.24967703
64,294171747,273426016,72.26369556
78,429992238,402406057,57.67579543
60,216976738,254826376,55.45000246
